Gene_ID,Protein_Function,Locus
CA09g00700,CCAAT-binding factor,Pepper1.55ch09:1589185-1589461
CA09g00710,PREDICTED: ubiquitin-conjugating enzyme E2 7-like [Solanum lycopersicum],Pepper1.55ch09:1597111-1597612
CA09g00720,DNA binding protein%2C putative,Pepper1.55ch09:1599088-1611391
CA09g00730,Inosine-uridine preferring ribonucleoside hydrolase,Pepper1.55ch09:1625251-1627239
CA09g00740,Transcription initiation factor TFIID subunit 12%2C putative isoform 1 [Theobroma cacao],Pepper1.55ch09:1635236-1640278
CA09g00750,PREDICTED: solute carrier family 35 member F2-like [Solanum lycopersicum],Pepper1.55ch09:1646124-1649695
CA09g00760,PREDICTED: solute carrier family 35 member F2-like [Solanum lycopersicum],Pepper1.55ch09:1651073-1655357
CA09g00770,PREDICTED: fatty acyl-CoA reductase 2-like [Solanum tuberosum],Pepper1.55ch09:1658855-1659703
CA09g00780,Purple acid phosphatase,Pepper1.55ch09:1698532-1700788
CA09g00790,PREDICTED: bromodomain-containing protein DDB_G0271118-like [Solanum tuberosum],Pepper1.55ch09:1710831-1711086
CA09g00800,PREDICTED: probable U6 snRNA-associated Sm-like protein LSm7-like isoform 2 [Solanum lycopersicum],Pepper1.55ch09:1730534-1733418
CA09g00810,PREDICTED: fatty acyl-CoA reductase 2-like [Solanum tuberosum],Pepper1.55ch09:1735207-1741907
CA09g00820,Male sterility protein 2 (Fragment),Pepper1.55ch09:1745425-1750045
CA09g00830,PREDICTED: CEN-like protein 2-like isoform X2 [Solanum tuberosum],Pepper1.55ch09:1758265-1761473
CA09g00840,Detected protein of unknown function,Pepper1.55ch09:1770282-1770594
CA09g00850,Detected protein of unknown function,Pepper1.55ch09:1800807-1805008
CA09g00860,Catalytic%2C putative,Pepper1.55ch09:1812372-1814459
CA09g00870,Esterase/lipase superfamily protein,Pepper1.55ch09:1816985-1823133
CA09g00880,Oxalate oxidase 2,Pepper1.55ch09:1824753-1825413
CA09g00890,Abscisic acid insensitive,Pepper1.55ch09:1830977-1832592
CA09g00900,PREDICTED: putative F-box protein At3g10430-like isoform 2 [Solanum lycopersicum],Pepper1.55ch09:1840915-1842541
CA09g00910,PREDICTED: F-box protein At4g00893-like [Solanum tuberosum],Pepper1.55ch09:1845257-1845629
CA09g00920,Disease resistance protein BS2,Pepper1.55ch09:1990581-1994130
CA09g00930,Disease resistance protein BS2,Pepper1.55ch09:2013994-2015453
CA09g00940,PREDICTED: F-box/LRR-repeat protein At1g67190-like [Solanum tuberosum],Pepper1.55ch09:2092192-2093452
CA09g00950,PREDICTED: iron-sulfur assembly protein IscA-like 1%2C mitochondrial-like [Solanum tuberosum],Pepper1.55ch09:2097305-2098965
CA09g00960,PREDICTED: iron-sulfur assembly protein IscA-like 1%2C mitochondrial-like [Solanum lycopersicum],Pepper1.55ch09:2112077-2112803
CA09g00970,FtsZ protein,Pepper1.55ch09:2119828-2124539
CA09g00980,PREDICTED: cell division protein FtsZ homolog 2-2%2C chloroplastic-like isoform X1 [Solanum tuberosum],Pepper1.55ch09:2125765-2131096
CA09g00990,Unknown protein,Pepper1.55ch09:2138833-2139244
CA09g01000,WD-repeat protein%2C putative,Pepper1.55ch09:2143806-2145448
CA09g01010,APO protein 3%2C mitochondrial%2C putative,Pepper1.55ch09:2152109-2155250
CA09g01020,Monodehydroascorbate reductase,Pepper1.55ch09:2156055-2157333
CA09g01030,Monodehydroascorbate reductase,Pepper1.55ch09:2162922-2168660
CA09g01040,PREDICTED: TMV resistance protein N-like [Vitis vinifera],Pepper1.55ch09:2173535-2173928
CA09g01050,Electron transport SCO1/SenC family protein,Pepper1.55ch09:2176166-2180547
CA09g01060,Detected protein of unknown function,Pepper1.55ch09:2188689-2189277
CA09g01070,Gypsy/Ty-3 retroelement polyprotein%3B 69905-74404,Pepper1.55ch09:2234820-2236053
CA09g01080,Meiotic recombination repair protein%2C putative,Pepper1.55ch09:2248303-2249855
CA09g01090,ACI14,Pepper1.55ch09:2255085-2255721
CA09g01100,PREDICTED: zinc finger A20 and AN1 domain-containing stress-associated protein 8-like isoform 1 [Solanum lycopersicum],Pepper1.55ch09:2289918-2290395
CA09g01110,ATP binding protein%2C putative,Pepper1.55ch09:2312123-2312606
CA09g01120,PREDICTED: zinc finger A20 and AN1 domain-containing stress-associated protein 8-like isoform 1 [Solanum lycopersicum],Pepper1.55ch09:2319517-2319994
CA09g01130,PREDICTED: F-box protein At4g00893-like [Solanum tuberosum],Pepper1.55ch09:2330921-2331422
CA09g01140,Meiotic recombination repair protein%2C putative,Pepper1.55ch09:2364489-2366869
CA09g01150,Meiotic recombination repair protein%2C putative,Pepper1.55ch09:2368271-2369780
CA09g01160,Calcium-dependent lipid-binding family protein isoform 4 [Theobroma cacao],Pepper1.55ch09:2390446-2391936
CA09g01170,Vacuolar protein sorting-associated protein%2C putative,Pepper1.55ch09:2401732-2403134
CA09g01180,Vacuolar protein sorting-associated protein%2C putative,Pepper1.55ch09:2416638-2457605
CA09g01190,PREDICTED: serine/threonine-protein kinase KIPK-like [Solanum tuberosum],Pepper1.55ch09:2459520-2463187
CA09g01200,PREDICTED: protein BUD31 homolog 2-like isoform 1 [Solanum lycopersicum],Pepper1.55ch09:2480821-2481642
CA09g01210,Aberrant large forked product%2C putative,Pepper1.55ch09:2482300-2483895
CA09g01220,Detected protein of unknown function,Pepper1.55ch09:2495493-2496357
CA09g01230,Fructose-bisphosphate aldolase,Pepper1.55ch09:2504932-2506703
CA09g01240,Detected protein of unknown function,Pepper1.55ch09:2510195-2512952
CA09g01250,PREDICTED: serine/threonine-protein phosphatase 7 long form homolog [Solanum lycopersicum],Pepper1.55ch09:2516753-2518985
CA09g01260,PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO2-like [Solanum tuberosum],Pepper1.55ch09:2523012-2526884
CA09g01270,Transcription factor%2C putative,Pepper1.55ch09:2573314-2576872
CA09g01280,PREDICTED: photosystem II reaction center W protein%2C chloroplastic-like [Solanum tuberosum],Pepper1.55ch09:2581426-2581816
CA09g01290,PREDICTED: claspin-like [Solanum tuberosum],Pepper1.55ch09:2624262-2628675
CA09g01300,PREDICTED: RAB6-interacting golgin-like [Solanum tuberosum],Pepper1.55ch09:2654178-2655233
CA09g01310,PREDICTED: growth-regulating factor 3-like [Solanum tuberosum],Pepper1.55ch09:2671526-2674164
CA09g01320,GRF domain class transcription factor,Pepper1.55ch09:2676945-2677317
CA09g01330,Starch branching enzyme II (Precursor),Pepper1.55ch09:2678232-2691883
CA09g01340,PREDICTED: translocation protein SEC63 homolog [Solanum lycopersicum],Pepper1.55ch09:2706278-2712890
CA09g01350,ACI14,Pepper1.55ch09:2714315-2715022
CA09g01360,ACI14,Pepper1.55ch09:2715111-2715772
CA09g01370,ACI14,Pepper1.55ch09:2718367-2718949
CA09g01380,Detected protein of unknown function,Pepper1.55ch09:2742046-2744020
CA09g01390,Detected protein of unknown function,Pepper1.55ch09:2746044-2747050
CA09g01400,ATP binding protein%2C putative,Pepper1.55ch09:2790146-2791565
CA09g01410,Type 2 histone deacetylase b,Pepper1.55ch09:2876022-2879512
CA09g01420,Delta14-sterol reductase,Pepper1.55ch09:2884169-2892150
CA09g01430,Repressor of silencing 1,Pepper1.55ch09:2916992-2926215
CA09g01440,Ethylene-responsive protein kinase Le-CTR1,Pepper1.55ch09:2937652-2952335
CA09g01450,Heat stress transcription factor A3,Pepper1.55ch09:2955784-2958624
CA09g01460,Detected protein of unknown function,Pepper1.55ch09:2964897-2972370
CA09g01470,Tubulin gamma complex-associated protein,Pepper1.55ch09:2997671-3000517
CA09g01480,PREDICTED: enolase-like [Solanum tuberosum],Pepper1.55ch09:3010306-3015008
CA09g01490,PREDICTED: glucomannan 4-beta-mannosyltransferase 9-like [Solanum tuberosum],Pepper1.55ch09:3160731-3168843
CA09g01500,Detected protein of unknown function,Pepper1.55ch09:3183040-3183458
CA09g01510,Unknown protein,Pepper1.55ch09:3197849-3198272
CA09g01520,Detected protein of unknown function,Pepper1.55ch09:3199599-3203943
CA09g01530,Haloacid dehalogenase-like hydrolase superfamily protein%2C putative isoform 1 [Theobroma cacao],Pepper1.55ch09:3205613-3206087
CA09g01540,Detected protein of unknown function,Pepper1.55ch09:3210879-3213859
CA09g01550,DNA binding protein%2C putative,Pepper1.55ch09:3216500-3219650
CA09g01560,zinc finger protein KNUCKLES [Arabidopsis thaliana],Pepper1.55ch09:3252679-3253045
CA09g01570,Detected protein of unknown function,Pepper1.55ch09:3257666-3259409
CA09g01580,Geranylgeranyl pyrophosphate synthase 4,Pepper1.55ch09:3265549-3267401
CA09g01590,Cytochrome P450,Pepper1.55ch09:3268404-3270173
CA09g01600,Cytochrome P450,Pepper1.55ch09:3274817-3277217
CA09g01610,Cytochrome P450,Pepper1.55ch09:3278879-3283222
CA09g01620,Protein kinase APK1A%2C chloroplast%2C putative,Pepper1.55ch09:3301084-3303774
CA09g01630,Aspartate/glutamate/uridylate kinase-like protein,Pepper1.55ch09:3312371-3318722
CA09g01640,Pyruvate kinase,Pepper1.55ch09:3320006-3325664
CA09g01650,Homeodomain-like,Pepper1.55ch09:3327930-3328863
CA09g01660,ATPP2-A13%2C putative,Pepper1.55ch09:3339866-3349537
CA09g01670,PREDICTED: 60S ribosomal protein L24-like [Solanum lycopersicum],Pepper1.55ch09:3440306-3441475
CA09g01680,Srpk%2C putative,Pepper1.55ch09:3448035-3455252
CA09g01690,At2g36630/F1O11.26,Pepper1.55ch09:3459221-3462620
CA09g01700,Rop guanine nucleotide exchange factor%2C putative,Pepper1.55ch09:3476999-3480236
CA09g01710,Late embryongenesis abundant protein,Pepper1.55ch09:3484056-3484368
CA09g01720,Embryonic cell protein 63,Pepper1.55ch09:3485341-3486262
CA09g01730,PREDICTED: agamous-like MADS-box protein AGL61-like [Solanum tuberosum],Pepper1.55ch09:3518655-3519189
CA09g01740,Nucleic acid binding protein%2C putative,Pepper1.55ch09:3531211-3532096
CA09g01750,Serine carboxypeptidase%2C putative,Pepper1.55ch09:3550108-3555907
CA09g01760,Putative phosphatase,Pepper1.55ch09:3562732-3563974
CA09g01770,Putative phosphatase,Pepper1.55ch09:3604452-3605208
CA09g01780,Gypsy/Ty-3 retroelement polyprotein%3B 69905-74404,Pepper1.55ch09:3618018-3618639
CA09g01790,Detected protein of unknown function,Pepper1.55ch09:3619045-3619501
CA09g01800,Putative phosphatase,Pepper1.55ch09:3622548-3623340
CA09g01810,PREDICTED: ras-related protein RABC2a-like [Solanum lycopersicum],Pepper1.55ch09:3628731-3629281
CA09g01820,Cyclophilin-like peptidyl-prolyl cis-trans isomerase,Pepper1.55ch09:3685346-3687562
CA09g01830,Protein phosphatase 2a%2C regulatory subunit%2C putative,Pepper1.55ch09:3691039-3698070
CA09g01840,PREDICTED: myb-related protein MYBAS1-like [Solanum lycopersicum],Pepper1.55ch09:3700542-3701222
CA09g01850,Pectate lyase%2C putative,Pepper1.55ch09:3705917-3709038
CA09g01860,30S ribosomal protein S11,Pepper1.55ch09:3729360-3729903
CA09g01870,PREDICTED: uncharacterized membrane protein YMR155W-like [Solanum lycopersicum],Pepper1.55ch09:3776038-3777961
CA09g01880,PREDICTED: uncharacterized membrane protein YMR155W-like [Solanum tuberosum],Pepper1.55ch09:3783563-3784535
CA09g01890,PREDICTED: heparan-alpha-glucosaminide N-acetyltransferase-like [Solanum tuberosum],Pepper1.55ch09:3786618-3794509
CA09g01900,Detected protein of unknown function,Pepper1.55ch09:3797064-3801520
CA09g01910,PREDICTED: E3 ubiquitin-protein ligase RFWD3-like [Vitis vinifera],Pepper1.55ch09:3876989-3879137
CA09g01920,Xyloglucan endotraglucosylase/hydrolase,Pepper1.55ch09:3909071-3912994
CA09g01930,Detected protein of unknown function,Pepper1.55ch09:3931287-3932409
CA09g01940,Molybdopterin-binding%2C putative,Pepper1.55ch09:3940622-3949363
CA09g01950,PREDICTED: putative pentatricopeptide repeat-containing protein At3g15930-like [Cucumis sativus],Pepper1.55ch09:3950310-3952068
CA09g01960,PREDICTED: thioredoxin-like 3-3-like [Solanum tuberosum],Pepper1.55ch09:3955197-3956283
CA09g01970,Detected protein of confused Function,Pepper1.55ch09:3956774-3957947
CA09g01980,GATA zinc finger domain-containing protein 10 [Theobroma cacao],Pepper1.55ch09:3971175-3974493
CA09g01990,5\'-AMP-activated protein kinase-related%2C putative isoform 1 [Theobroma cacao],Pepper1.55ch09:3980861-3985828
CA09g02000,Ntrax,Pepper1.55ch09:4005834-4008483
CA09g02010,ABC transporter-like protein (Fragment),Pepper1.55ch09:4044124-4044788
CA09g02020,P-glycoprotein,Pepper1.55ch09:4045338-4051067
CA09g02030,PREDICTED: zinc finger protein 593-like [Cucumis sativus],Pepper1.55ch09:4136788-4137865
CA09g02040,Mannan synthase,Pepper1.55ch09:4156243-4159570
CA09g02050,PREDICTED: neurofilament medium polypeptide-like isoform X2 [Solanum tuberosum],Pepper1.55ch09:4176011-4177548
CA09g02060,PREDICTED: uncharacterized vacuolar membrane protein YML018C-like [Solanum lycopersicum],Pepper1.55ch09:4192723-4193014
CA09g02070,membrane family protein [Populus trichocarpa],Pepper1.55ch09:4195840-4197840
CA09g02080,PREDICTED: auxin-induced protein X10A-like [Solanum lycopersicum],Pepper1.55ch09:4246104-4246497
CA09g02090,PREDICTED: auxin-induced protein X10A-like [Solanum lycopersicum],Pepper1.55ch09:4260688-4261126
CA09g02100,PREDICTED: transcription initiation factor TFIID subunit 8-like [Solanum tuberosum],Pepper1.55ch09:4321353-4322478
CA09g02110,Phosphoglycerate kinase,Pepper1.55ch09:4338155-4340127
CA09g02120,ATP-dependent RNA helicase%2C putative,Pepper1.55ch09:4349802-4356668
CA09g02130,PREDICTED: TSL-kinase interacting protein 1-like isoform X1 [Solanum tuberosum],Pepper1.55ch09:4378661-4384910
CA09g02140,UDP-glycosyltransferase 1,Pepper1.55ch09:4402869-4403457
CA09g02150,UDP-glucosyltransferase%2C putative,Pepper1.55ch09:4406058-4406703
CA09g02160,DEVIL16 family protein [Populus trichocarpa],Pepper1.55ch09:4441682-4441913
CA09g02170,PREDICTED: cell division cycle protein 48 homolog [Glycine max],Pepper1.55ch09:4456564-4462505
CA09g02180,Cell division control 20,Pepper1.55ch09:4478457-4478931
CA09g02190,UDP-glucoronosyl/UDP-glucosyl transferase family protein,Pepper1.55ch09:4487002-4493223
CA09g02200,PREDICTED: UDP-glycosyltransferase 86A1-like [Solanum tuberosum],Pepper1.55ch09:4509588-4511737
CA09g02210,RNA polymerase sigma factor rpoD%2C putative,Pepper1.55ch09:4514118-4517744
CA09g02220,TCP transcription factor 19,Pepper1.55ch09:4525369-4525984
CA09g02230,PREDICTED: OTU domain-containing protein DDB_G0284757-like isoform X4 [Solanum tuberosum],Pepper1.55ch09:4530855-4535799
CA09g02240,Polyprotein (Fragment),Pepper1.55ch09:4591363-4591717
CA09g02250,Detected protein of unknown function,Pepper1.55ch09:4594692-4595389
CA09g02260,GAGA-binding transcriptional activator,Pepper1.55ch09:4600140-4601010
CA09g02270,Detected protein of unknown function,Pepper1.55ch09:4601664-4607734
CA09g02280,GDP-mannose 4%2C6-dehydratase,Pepper1.55ch09:4608928-4609633
CA09g02290,Unknown protein,Pepper1.55ch09:4758385-4758733
CA09g02300,Polyprotein,Pepper1.55ch09:4864299-4864875
CA09g02310,PREDICTED: chromodomain-helicase-DNA-binding protein 4-like [Solanum tuberosum],Pepper1.55ch09:5088731-5089226
CA09g02320,U3 small nucleolar RNA-associated protein%2C putative,Pepper1.55ch09:5183300-5187992
CA09g02330,PREDICTED: transducin beta-like protein 3-like [Solanum tuberosum],Pepper1.55ch09:5188425-5188920
CA09g02340,WD-repeat protein%2C putative,Pepper1.55ch09:5306715-5312685
CA09g02350,Os11g0157000 [Oryza sativa] Japonica Group,Pepper1.55ch09:5318313-5318769
CA09g02360,Chromatin remodeling complex subunit,Pepper1.55ch09:5388983-5390305
CA09g02370,Tetratricopeptide repeat protein,Pepper1.55ch09:5449193-5451235
CA09g02380,Catalytic%2C putative,Pepper1.55ch09:5457386-5459332
CA09g02390,Detected protein of unknown function,Pepper1.55ch09:5540295-5544688
CA09g02400,Unknown protein,Pepper1.55ch09:5557460-5557658
CA09g02410,Phenylalanine ammonia-lyase,Pepper1.55ch09:5685707-5689381
CA09g02420,Phenylalanine ammonia-lyase,Pepper1.55ch09:5700822-5701821
CA09g02430,Phenylalanine ammonia-lyase,Pepper1.55ch09:5702891-5703311
CA09g02440,PREDICTED: putative F-box protein At3g25750-like [Solanum lycopersicum],Pepper1.55ch09:5789497-5789875
CA09g02450,PREDICTED: putative F-box protein At1g65770-like [Solanum lycopersicum],Pepper1.55ch09:5789922-5790279
CA09g02460,PREDICTED: F-box protein At2g26160-like isoform X2 [Solanum tuberosum],Pepper1.55ch09:5815864-5817019
CA09g02470,PREDICTED: F-box protein SKIP23-like [Solanum lycopersicum],Pepper1.55ch09:5823501-5823765
CA09g02480,PREDICTED: putative F-box protein At3g25750-like [Solanum lycopersicum],Pepper1.55ch09:5824055-5824565
CA09g02490,Receptor-like protein (Fragment),Pepper1.55ch09:5872957-5875864
CA09g02500,F-box family protein,Pepper1.55ch09:5879650-5880985
CA09g02510,Ethylene signaling protein,Pepper1.55ch09:6045061-6051786
CA09g02520,Calcium lipid binding protein%2C putative,Pepper1.55ch09:6077048-6082544
CA09g02530,Single-stranded DNA binding protein (Precursor),Pepper1.55ch09:6087373-6091302
CA09g02540,Detected protein of unknown function,Pepper1.55ch09:6115764-6116298
CA09g02550,Receptor-kinase%2C putative,Pepper1.55ch09:6125609-6129229
CA09g02560,Flavonol synthase,Pepper1.55ch09:6248046-6248655
CA09g02570,Flavonol synthase,Pepper1.55ch09:6285289-6286255
CA09g02580,Hypothetical chloroplast RF2,Pepper1.55ch09:6292857-6293022
CA09g02590,Hypothetical chloroplast RF2,Pepper1.55ch09:6311265-6311736
CA09g02600,Methylketone synthase Ib,Pepper1.55ch09:6369068-6370128
CA09g02610,Unknown protein,Pepper1.55ch09:6461157-6462199
CA09g02620,Cyclic nucleotide-gated channel 15 isoform 1 [Theobroma cacao],Pepper1.55ch09:6493595-6496846
CA09g02630,Protein binding protein%2C putative,Pepper1.55ch09:6543016-6545694
CA09g02640,Auxin response factor%2C putative,Pepper1.55ch09:6581244-6583999
CA09g02650,Polyubiquitin,Pepper1.55ch09:6656173-6656863
CA09g02660,Detected protein of unknown function,Pepper1.55ch09:6660760-6661548
CA09g02670,PREDICTED: putative F-box protein At3g25750-like [Solanum lycopersicum],Pepper1.55ch09:6723359-6723946
CA09g02680,PREDICTED: pectinesterase inhibitor-like [Solanum tuberosum],Pepper1.55ch09:6740916-6741447
CA09g02690,Retrotransposon Tto1 DNA,Pepper1.55ch09:6748034-6748481
CA09g02700,Polyubiquitin protein (Fragment),Pepper1.55ch09:6796848-6797766
CA09g02710,PREDICTED: BAHD acyltransferase DCR-like [Solanum tuberosum],Pepper1.55ch09:6881748-6882162
